,model_name,model_year,kms_driven,owner,location,mileage,power,price,cc,brand
707,Bajaj Avenger Street 150,2016,98000,second owner,jaipur,50.0,14.30 bhp,44000,150.0,Bajaj
708,Bajaj Pulsar 180cc,2014,20000,first owner,jaipur,45.0,17 bhp,28000,180.0,Bajaj
709,Hero Xtreme 150cc,2014,10000,first owner,bangalore,50.0,14.20 bhp,30000,150.0,Hero
710,Hero Splendor iSmart 110cc,2016,24000,second owner,delhi,55.0,9.30 bhp,38000,110.0,Hero
711,Bajaj Avenger Street 220,2015,65000,second owner,thane,53.0,19 bhp,45000,220.0,Bajaj
712,Bajaj Pulsar 180cc,2009,28000,first owner,pune,65.0,15 bhp,18000,180.0,Bajaj
713,Hero Hunk 150cc,2009,53000,first owner,delhi,53.0,14 bhp,22000,150.0,Hero
714,Bajaj Pulsar 220cc,2012,36000,first owner,pune,38.0,21 bhp,35000,220.0,Bajaj
715,Bajaj Pulsar 180cc,2013,50000,second owner,panipat,65.0,15 bhp,27000,180.0,Bajaj
716,Royal Enfield Thunderbird 350cc,2003,67872,second owner,jaipur,30.0,19.80 bhp,39999,350.0,Royal Enfield
717,Hero Super Splendor 125cc,2006,19000,first owner,delhi,75.0,9 bhp,16500,125.0,Hero
718,Yamaha FZs 150cc,2014,40000,second owner,delhi,45.0,13 bhp,30000,150.0,Yamaha
719,Hero Hunk 150cc,2014,35700,second owner,kheda,53.0,14 bhp,22000,150.0,Hero
720,Hero Passion Plus 100cc,2008,31203,third owner,bangalore,55.0,7.5 Bhp,27500,100.0,Hero
721,Hero Karizma ZMR 223cc,2011,47000,first owner,delhi,48.0,20 bhp,25000,223.0,Hero
722,Hero HF Deluxe 100cc,2009,23711,first owner,jaipur,83.0,7.70 bhp,28000,100.0,Hero
723,Hero CBZ Xtreme 150cc,2014,35000,first owner,ahmedabad,65.0,14.4PS,35000,150.0,Hero
724,Hero Splendor Plus 100cc,2010,15000,first owner,ludhiana,81.0,8.20 bhp,22540,100.0,Hero
725,Bajaj Pulsar 180cc,2014,21000,first owner,bangalore,45.0,17 bhp,42000,180.0,Bajaj
726,Yamaha FZs 150cc,2015,26000,second owner,bangalore,45.0,13 bhp,49999,150.0,Yamaha
727,Yamaha YBR 110cc,2014,42000,second owner,shimoga,55.0,7.60 bhp,17000,110.0,Yamaha
728,Hero CD Deluxe 100cc,2011,28000,first owner,delhi,65.0,7.70 bhp,28000,100.0,Hero
729,Yamaha FZs 150cc,2015,31000,first owner,kolkata,45.0,13 bhp,49900,150.0,Yamaha
730,Hero HF Deluxe IBS Kick Spoke 100cc BS6,2020,5948,first owner,faridabad,50.0,7.91 bhp,44900,100.0,Hero
731,Hero Splendor iSmart 110cc,2017,23000,first owner,jaipur,55.0,9.30 bhp,38000,110.0,Hero
732,Bajaj V15 150cc,2017,26000,first owner,jaipur,57.0,11.80 bhp,37000,150.0,Bajaj
733,Hero Passion Xpro 110cc,2012,80000,first owner,secunderabad,55.0,6.72 KW (9.1 Ps),25000,110.0,Hero
734,Hero Karizma ZMR 223cc,2015,15000,second owner,ghaziabad,48.0,20 bhp,37389,223.0,Hero
735,TVS Sport 100cc,2015,36000,first owner,mumbai,95.0,7.40 bhp,35000,100.0,TVS
736,Bajaj Discover 125ST,2012,95500,first owner,rajkot,65.0,12.5 ps,25000,125.0,Bajaj
737,Yamaha FZs 150cc,2013,16000,first owner,ahmedabad,45.0,13 bhp,42000,150.0,Yamaha
738,Yamaha YZF-R15 150cc,2009,40000,third owner,ghaziabad,42.0,16 bhp,28000,150.0,Yamaha
739,Bajaj Pulsar 180cc,2011,29000,first owner,delhi,65.0,15 bhp,27499,180.0,Bajaj
740,Hero CD Deluxe 100cc,2016,18000,first owner,delhi,65.0,7.70 bhp,29000,100.0,Hero
741,Bajaj Pulsar 220cc,2011,37000,first owner,vasai,38.0,21 bhp,27000,220.0,Bajaj
742,Bajaj Pulsar 220cc,2011,37000,first owner,vasai,38.0,21 bhp,21796,220.0,Bajaj
743,Bajaj Pulsar AS150,2015,19500,first owner,pune,53.0,16.80 bhp,42000,150.0,Bajaj
744,Bajaj Pulsar AS150,2015,19500,first owner,pune,53.0,16.80 bhp,47000,150.0,Bajaj
745,TVS Star City Plus 110cc,2015,13000,first owner,gurgaon,85.0,8.2 bhp,25000,110.0,TVS
746,Hero HF Deluxe 100cc,2016,21511,first owner,gurgaon,83.0,7.70 bhp,34000,100.0,Hero
747,Bajaj Pulsar 180cc,2014,25600,first owner,bihar shariff,45.0,17 bhp,48000,180.0,Bajaj
748,Yamaha YZF-R15 2.0 150cc,2012,38000,first owner,hindupur,42.0,16.70 bhp,37575,150.0,Yamaha
749,Hero Achiever 150cc,2017,14999,first owner,ludhiana,50.0,13 bhp,35000,150.0,Hero
750,TVS Sport 100cc,2016,21023,first owner,gurgaon,95.0,7.40 bhp,26000,100.0,TVS
751,Hero Passion Pro 100cc,2016,21000,first owner,vadodara,5.0,8.2 Bhp,38500,100.0,Hero
752,Bajaj V15 150cc,2016,19845,first owner,bangalore,57.0,11.80 bhp,33172,150.0,Bajaj
753,Bajaj Pulsar 220cc,2009,35000,first owner,pune,38.0,21 bhp,35000,220.0,Bajaj
754,Yamaha SZ-RR 150cc,2016,45000,first owner,kendrapara,55.0,12 bhp,19425,150.0,Yamaha
755,Bajaj Avenger 220cc,2012,45000,first owner,chennai,40.0,19 bhp,30000,220.0,Bajaj
756,Bajaj V15 150cc,2017,48200,first owner,begusarai,57.0,11.80 bhp,45000,150.0,Bajaj
757,Bajaj Pulsar 180cc,2011,44500,first owner,chennai,65.0,15 bhp,25000,180.0,Bajaj
758,Hero HF Deluxe 100cc,2012,24500,first owner,jaipur,83.0,7.70 bhp,33000,100.0,Hero
759,Hero Passion Pro 100cc Drum Alloy,2018,26000,first owner,jaipur,5.0,8.2 Bhp,45000,100.0,Hero
760,Hero Glamour Disc 125cc,2017,20000,first owner,jaipur,55.0,8.90 bhp,38000,125.0,Hero
761,Bajaj Pulsar 180cc,2010,58000,first owner,pune,65.0,15 bhp,23000,180.0,Bajaj
762,Hero Passion Pro 100cc,2013,10000,first owner,bangalore,5.0,8.2 Bhp,35000,100.0,Hero
763,Hero Splendor Plus Self Alloy 100cc,2018,12000,first owner,gurgaon,55.0,8.20 bhp,41000,100.0,Hero
764,Bajaj Pulsar 135LS,2010,60000,first owner,delhi,64.0,13 bhp,18000,135.0,Bajaj
765,Bajaj Pulsar 180cc,2009,48263,first owner,jaipur,65.0,15 bhp,25000,180.0,Bajaj
766,Honda Dream Yuga 110cc,2015,24000,first owner,vadodara,84.0,8 bhp,35145,110.0,Honda
767,Bajaj Discover 125cc Disc,2018,9946,first owner,gurgaon,65.0,10.90 bhp,24958,125.0,Bajaj
768,Bajaj Pulsar 135LS,2012,51000,first owner,pune,64.0,13 bhp,26000,135.0,Bajaj
769,Bajaj V12 125cc,2017,33360,first owner,delhi,57.0,12bhp,40000,125.0,Bajaj
770,Hero Passion Plus 100cc,2009,17381,first owner,chandigarh,55.0,7.5 Bhp,25000,100.0,Hero
771,Bajaj V12 125cc,2018,26000,first owner,sultanpur,57.0,12bhp,40000,125.0,Bajaj
772,Bajaj Pulsar 220F,2011,70000,second owner,ahmedabad,38.0,21 bhp,25500,220.0,Bajaj
773,Hero Passion PRO  100 cc,2003,22000,second owner,delhi,50.0,6.15 kW (8.36 Ps),16000,100.0,Hero
774,Yamaha YZF-R15 150cc,2014,11000,first owner,kolar,42.0,16 bhp,40173,150.0,Yamaha
775,Royal Enfield Thunderbird 350cc,2012,21000,first owner,faridabad,40.0,19.80 bhp,47000,350.0,Royal Enfield
776,Bajaj Discover 135cc,2008,95000,first owner,noida,65.0,9.64 kw,18000,135.0,Bajaj
777,Hero Karizma R 223cc,2009,56500,first owner,delhi,40.0,17 bhp,22000,223.0,Hero
