,model_name,model_year,kms_driven,owner,location,mileage,power,price,cc,brand
898,Bajaj Discover 100T,2013,35000,first owner,siwan,56.0,8.51 PS,23000,100.0,Bajaj
899,Bajaj CT 100 100cc,2018,20334,first owner,gurgaon,89.0,8.10 bhp,35000,100.0,Bajaj
900,Bajaj CT 100 100cc,2018,16500,first owner,gurgaon,89.0,8.10 bhp,35000,100.0,Bajaj
901,Bajaj CT 100 ES Alloy,2019,9000,first owner,gurgaon,67.0,8.10 bhp,38000,100.0,Bajaj
902,Hero Super Splendor 125cc,2014,25000,first owner,delhi,75.0,9 bhp,35000,125.0,Hero
903,Bajaj CT 100 100cc,2018,23221,first owner,gurgaon,89.0,8.10 bhp,35000,100.0,Bajaj
904,Bajaj CT 100 100cc,2018,14949,first owner,gurgaon,89.0,8.10 bhp,35000,100.0,Bajaj
905,Bajaj CT 100 ES Alloy,2018,24233,first owner,gurgaon,67.0,8.10 bhp,30000,100.0,Bajaj
906,Mahindra Centuro 110cc,2016,8500,first owner,kolkata,60.0,8.4 bhp,35000,110.0,Mahindra
907,Hero HF Deluxe Eco 100cc,2019,4544,first owner,faridabad,65.0,8.10 bhp,41000,100.0,Hero
908,Bajaj Avenger Street 150,2015,29900,first owner,bangalore,50.0,14.30 bhp,41300,150.0,Bajaj
909,Hero Achiever 150cc,2018,1999,first owner,bangalore,50.0,13 bhp,42000,150.0,Hero
910,Bajaj Pulsar 180cc,2016,22000,second owner,delhi,65.0,17 bhp,48500,180.0,Bajaj
911,Hero HF Deluxe i3s 100cc,2019,20000,first owner,kanpur,55.0,8.20 bhp,43500,100.0,Hero
912,Royal Enfield‎ Bullet 350cc,1990,35000,second owner,mathura,37.0,19.80 bhp,45000,350.0,Royal Enfield
913,Honda CBR 150R 150cc,2012,42000,first owner,indore,38.0,18.28 bhp,42000,150.0,Honda
914,Bajaj Discover 125cc,2007,34163,first owner,bangalore,65.0,12.5 ps,25000,125.0,Bajaj
915,Bajaj CT 100 100cc,2018,8250,first owner,noida,89.0,8.10 bhp,30000,100.0,Bajaj
916,Bajaj  Pulsar 180cc,2011,620010,third owner,kolkata,45.0,17 bhp,28000,180.0,Bajaj
917,Hero Passion Pro 100cc,2015,23000,first owner,ahmedabad,84.0,8.2 Bhp,34500,100.0,Hero
918,Hero Passion Pro 100cc,2016,3000,first owner,tiruvallur,5.0,8.2 Bhp,35242,100.0,Hero
919,Bajaj Pulsar 135LS,2012,4479,second owner,virar,64.0,13 bhp,20000,135.0,Bajaj
920,Hero Passion Pro 100cc,2014,23430,first owner,jaipur,5.0,8.2 Bhp,35000,100.0,Hero
921,TVS Star City Plus 110cc,2017,17000,first owner,gurgaon,85.0,8.2 bhp,31000,110.0,TVS
922,Hero CD Deluxe 100cc,2012,84000,first owner,bhiwani,65.0,7.70 bhp,20000,100.0,Hero
923,Bajaj V15 150cc,2016,9100,first owner,pune,57.0,11.80 bhp,48000,150.0,Bajaj
924,TVS Star City Plus 110cc,2018,20000,first owner,bangalore,85.0,8.2 bhp,49999,110.0,TVS
925,Yamaha FZs 150cc,2011,12900,first owner,bangalore,45.0,13 bhp,34100,150.0,Yamaha
926,Hero Splendor Plus 100cc,2010,29000,first owner,gurgaon,81.0,8.20 bhp,23000,100.0,Hero
927,Yamaha FZs 150cc,2014,23957,second owner,bangalore,45.0,13 bhp,47000,150.0,Yamaha
928,Hero Splendor 100cc,2008,80000,first owner,durg,52.5,6.15kW (8.36 Ps),20000,100.0,Hero
929,Bajaj V12 125cc Disc,2017,20400,first owner,rohtak,57.0,10.60 bhp,35740,125.0,Bajaj
930,Hero Hunk 150cc,2017,69787,first owner,kolkata,53.0,14 bhp,36558,150.0,Hero
931,Bajaj CT 100 ES Alloy,2019,5922,first owner,faridabad,67.0,8.10 bhp,31000,100.0,Bajaj
932,Hero Passion Pro 100cc,2017,8000,first owner,tiruvallur,5.0,8.2 Bhp,37204,100.0,Hero
933,Bajaj Discover 100cc,2005,26527,first owner,bangalore,72.0,8.51 PS,19000,100.0,Bajaj
934,Hero Splendor Plus 100cc,2011,26886,first owner,gurgaon,81.0,8.20 bhp,17000,100.0,Hero
935,Hero Honda Splendor 100cc,2011,70000,second owner,jodhpur,52.5,6.15kW (8.36 Ps),21000,100.0,Hero
936,Hero Splendor NXG 100cc,2011,26000,first owner,bangalore,65.0,7 bhp,20000,100.0,Hero
937,Bajaj Pulsar 180cc,2010,7000,first owner,jaipur,65.0,15 bhp,19600,180.0,Bajaj
938,Suzuki Gixxer 150cc,2015,6500,first owner,virar,63.0,14 bhp,43800,150.0,Suzuki
939,Bajaj V15 150cc,2016,10000,first owner,pune,57.0,11.80 bhp,49100,150.0,Bajaj
940,Bajaj Discover 125ST,2013,38425,first owner,delhi,65.0,12.5 ps,25000,125.0,Bajaj
941,Hero Passion Pro 100cc,2014,35600,first owner,delhi,5.0,8.2 Bhp,31500,100.0,Hero
942,Yamaha FZs 150cc,2015,50000,first owner,arrah,45.0,13 bhp,30000,150.0,Yamaha
943,Hero Passion Pro 100cc,2016,6500,first owner,thane,5.0,8.2 Bhp,42000,100.0,Hero
944,Bajaj  Pulsar 180cc,2013,20000,first owner,delhi,45.0,17 bhp,32000,180.0,Bajaj
945,Hero Passion Plus 100cc,2004,60000,first owner,tiruvallur,55.0,7.5 Bhp,18000,100.0,Hero
946,Yamaha SZ-RR 150cc,2016,12000,first owner,vadodara,55.0,12 bhp,44000,150.0,Yamaha
947,Bajaj Pulsar 135LS,2013,46316,second owner,jodhpur,64.0,13 bhp,27000,135.0,Bajaj
948,Bajaj Discover 125ST,2013,65000,second owner,dankaur,65.0,12.5 ps,28000,125.0,Bajaj
949,Hero Super Splendor 125cc,2010,38385,first owner,surat,75.0,9 bhp,30000,125.0,Hero
950,Bajaj V15 150cc,2017,8564,first owner,delhi,57.0,11.80 bhp,45000,150.0,Bajaj
951,Hero Karizma R 223cc,2008,27000,second owner,24 pargana,40.0,17 bhp,28000,223.0,Hero
952,Bajaj Discover 125cc,2012,28961,second owner,nadiad,65.0,12.5 ps,20000,125.0,Bajaj
953,Hero CBZ Xtreme 150cc,2012,110586,first owner,tiruvannamalai,65.0,14.4PS,17400,150.0,Hero
954,Bajaj Avenger 220cc,2014,39000,first owner,faridabad,40.0,19 bhp,40000,220.0,Bajaj
955,Bajaj Discover 135cc,2008,90000,first owner,mumbai,65.0,9.64 kw,28000,135.0,Bajaj
956,Yamaha Gladiator 125cc,2009,22000,first owner,bhopal,64.0,10.8ps,18000,125.0,Yamaha
957,Bajaj Avenger 220cc,2014,64000,first owner,ahmedabad,40.0,19 bhp,40000,220.0,Bajaj
958,Hero Glamour 125cc,2014,35000,first owner,bhubaneshwar,55.0,8.90 bhp,41000,125.0,Hero
959,Bajaj Avenger Street 150,2016,60055,first owner,pune,50.0,14.30 bhp,34918,150.0,Bajaj
960,Hero Passion Plus 100cc,2009,43000,first owner,indore,55.0,7.5 Bhp,25000,100.0,Hero
961,Hero CBZ Xtreme 150cc,2013,60000,first owner,medinipur,65.0,14.4PS,45000,150.0,Hero
962,TVS Star Sport 100cc,2016,50000,first owner,vasai,95.0,7.40 bhp,36000,100.0,TVS
963,Hero Karizma R 223cc,2015,10900,first owner,delhi,40.0,17 bhp,45000,223.0,Hero
964,Bajaj Pulsar 180cc,2010,70000,first owner,ahmedabad,65.0,15 bhp,17000,180.0,Bajaj
965,Hero Passion Pro 100cc,2013,20000,first owner,mulbagal,5.0,8.2 Bhp,33000,100.0,Hero
966,Bajaj Pulsar AS150,2016,12000,first owner,moradabad,53.0,16.80 bhp,38900,150.0,Bajaj
967,Bajaj Pulsar 180cc,2012,51000,first owner,moga,45.0,17 bhp,35000,180.0,Bajaj
968,Bajaj Avenger Street 220,2016,18600,first owner,meerut,53.0,19 bhp,48000,220.0,Bajaj
969,Bajaj Avenger 220cc,2013,37000,first owner,bangalore,40.0,19 bhp,45000,220.0,Bajaj
970,Hero Passion Plus 100cc,2008,39000,third owner,ahmedabad,55.0,7.5 Bhp,20000,100.0,Hero
971,Bajaj Discover 125cc,2010,90000,first owner,sonbhadra,65.0,12.5 ps,30000,125.0,Bajaj
972,Bajaj Pulsar 180cc,2013,34000,first owner,halol,65.0,15 bhp,35000,180.0,Bajaj
973,Bajaj Pulsar 135LS,2015,20000,first owner,nawanshahr,64.0,13 bhp,45000,135.0,Bajaj
974,Bajaj Pulsar 220cc,2013,37000,second owner,bangalore,38.0,21 bhp,38000,220.0,Bajaj
975,Bajaj Pulsar 220F,2010,14800,first owner,margao,38.0,21 bhp,30000,220.0,Bajaj
976,Yamaha FZs 150cc,2011,50000,first owner,pune,45.0,13 bhp,43500,150.0,Yamaha
977,Hero Karizma ZMR 223cc,2015,24000,second owner,dehradun,48.0,20 bhp,40000,223.0,Hero
978,Bajaj Pulsar 180cc,2011,70000,first owner,gurgaon,65.0,15 bhp,32500,180.0,Bajaj
979,Hero Splendor iSmart 110cc,2016,13000,third owner,delhi,55.0,9.30 bhp,38500,110.0,Hero
980,Bajaj Pulsar 220cc,2009,30000,first owner,agra,38.0,21 bhp,27000,220.0,Bajaj
981,Bajaj V15 150cc,2016,18700,first owner,nalgonda,57.0,11.80 bhp,42000,150.0,Bajaj
982,Hero Karizma ZMR 223cc,2012,13000,first owner,delhi,48.0,20 bhp,30000,223.0,Hero
983,Suzuki Gixxer 150cc,2015,9800,first owner,delhi,63.0,14 bhp,48000,150.0,Suzuki
984,Bajaj CT 100 100cc,2018,15000,first owner,delhi,89.0,8.10 bhp,41500,100.0,Bajaj
985,Honda CB Trigger 150cc,2014,35000,first owner,gurgaon,60.0,14 bhp,27000,150.0,Honda
986,Bajaj V15 150cc,2016,35467,first owner,gurgaon,57.0,11.80 bhp,33000,150.0,Bajaj
987,Honda CB Trigger 150cc,2014,30000,first owner,delhi,60.0,14 bhp,36000,150.0,Honda
988,Bajaj Discover 125M,2015,12000,first owner,delhi,65.0,12.5 ps,35000,125.0,Bajaj
989,Hero Passion Pro 100cc,2014,25853,first owner,jaipur,5.0,8.2 Bhp,34000,100.0,Hero
990,Hero Passion Pro i3S Alloy 100cc,2018,28975,first owner,jaipur,84.0,8.20 bhp,48000,100.0,Hero
991,Bajaj Avenger 220cc,2014,10000,second owner,hyderabad,40.0,19 bhp,48000,220.0,Bajaj
992,Yamaha FZs 150cc,2014,11000,first owner,delhi,45.0,13 bhp,47040,150.0,Yamaha
993,Hero Passion Pro 100cc,2009,12000,first owner,delhi,5.0,8.2 Bhp,19600,100.0,Hero
994,Bajaj V15 150cc,2016,35466,first owner,gurgaon,57.0,11.80 bhp,32000,150.0,Bajaj
995,Hero Super Splendor 125cc,2011,28547,first owner,faridabad,75.0,9 bhp,18000,125.0,Hero
996,Hero Hunk 150cc,2011,31214,first owner,gurgaon,53.0,14 bhp,17000,150.0,Hero
997,Bajaj V15 150cc,2016,23492,first owner,gurgaon,57.0,11.80 bhp,32000,150.0,Bajaj
998,Hero Splendor iSmart 100cc,2016,6000,first owner,jaipur,55.0,8.20 bhp,36000,100.0,Hero
999,Hero Splendor 100cc,2004,61122,first owner,ahmedabad,52.5,6.15kW (8.36 Ps),23000,100.0,Hero
1000,Bajaj Discover 125M,2015,40000,first owner,bangalore,65.0,12.5 ps,37500,125.0,Bajaj
1001,Bajaj Discover 125cc,2013,43500,first owner,kottayam,65.0,12.5 ps,23500,125.0,Bajaj
1002,Bajaj V15 150cc,2016,6726,first owner,delhi,57.0,11.80 bhp,48750,150.0,Bajaj
1003,Hero Passion Pro 100cc,2013,20757,first owner,faridabad,5.0,8.2 Bhp,20800,100.0,Hero
1004,Bajaj Discover 125cc,2013,16181,first owner,faridabad,65.0,12.5 ps,16500,125.0,Bajaj
1005,Hero Passion Pro TR 100cc,2017,89999,first owner,tiruvallur,84.0,7.70 bhp,26365,100.0,Hero
1006,Hero Splendor Pro 100cc,2011,16428,first owner,bangalore,81.0,8.20 bhp,33000,100.0,Hero
1007,Hero Passion Pro 100cc,2012,12000,first owner,ludhiana,5.0,8.2 Bhp,27500,100.0,Hero
1008,Hero Hunk 150cc,2015,41734,first owner,gurgaon,53.0,14 bhp,26000,150.0,Hero
1009,Bajaj Pulsar 180cc,2012,40000,second owner,islampur,45.0,17 bhp,25800,180.0,Bajaj
1010,Suzuki Gixxer 150cc,2016,20082,first owner,jaipur,63.0,14 bhp,42000,150.0,Suzuki
1011,Bajaj Pulsar 220cc,2014,40000,first owner,mumbai,38.0,21 bhp,46700,220.0,Bajaj
1012,Hero HF Deluxe self Alloy 100cc,2018,22000,first owner,gurgaon,55.0,6.15kW (8.36 Ps),45000,100.0,Hero
1013,Bajaj V15 150cc,2017,19346,first owner,gurgaon,57.0,11.80 bhp,26000,150.0,Bajaj
1014,Hero HF Deluxe i3s 100cc,2018,8300,first owner,mumbai,55.0,8.20 bhp,45000,100.0,Hero
1015,Honda CB Trigger 150cc,2014,28000,first owner,gurgaon,60.0,14 bhp,37000,150.0,Honda
1016,Bajaj Avenger Street 150,2016,30000,first owner,vadodara,50.0,14.30 bhp,42000,150.0,Bajaj
1017,Royal Enfield Bullet 350cc,2007,52904,first owner,gurgaon,37.0,19.80 bhp,48000,350.0,Royal Enfield
1018,Bajaj V15 150cc,2017,52000,first owner,kolkata,57.0,11.80 bhp,38000,150.0,Bajaj
1019,Hero Karizma R 223cc,2013,35000,first owner,indore,40.0,17 bhp,45000,223.0,Hero
1020,Yamaha Gladiator 125cc,2009,32539,first owner,chennai,64.0,10.8ps,17000,125.0,Yamaha
1021,Suzuki Hayate 110cc,2014,35112,first owner,delhi,69.0,8.3 bhp,20000,110.0,Suzuki
1022,Hero CBZ Xtreme 150cc,2013,40000,first owner,hyderabad,65.0,14.4PS,42000,150.0,Hero
1023,Suzuki Gixxer 150cc,2016,45000,second owner,chennai,63.0,14 bhp,40000,150.0,Suzuki
1024,Bajaj Avenger Street 150,2015,53000,first owner,thane,50.0,14.30 bhp,47000,150.0,Bajaj
1025,Hero CBZ Xtreme 150cc,2010,35800,second owner,surat,65.0,14.4PS,16500,150.0,Hero
1026,Hero Splendor iSmart 110cc,2016,20290,first owner,delhi,55.0,9.30 bhp,40000,110.0,Hero
1027,Hero CBZ Xtreme 150cc,2007,47000,first owner,bangalore,65.0,14.4PS,27000,150.0,Hero
1028,Hero Ignitor 125cc,2014,40000,second owner,chennai,55.0,11 bhp,22500,125.0,Hero
1029,Hero CBZ Xtreme 150cc,2013,50000,first owner,pune,65.0,14.4PS,31000,150.0,Hero
1030,Hero CBZ 150cc,2011,42500,first owner,hyderabad,65.0,12.8ps,35000,150.0,Hero
1031,Hero Splendor 100cc,2011,32659,first owner,ahmedabad,52.5,6.15kW (8.36 Ps),26950,100.0,Hero
1032,Hero Honda Splendor Plus 100cc,2011,55000,first owner,hyderabad,52.5,6.15kW (8.36 Ps),36150,100.0,Hero
1033,Hero Splendor 100cc,2011,22365,first owner,ahmedabad,52.5,6.15kW (8.36 Ps),26950,100.0,Hero
1034,Bajaj Avenger 220cc,2015,25000,first owner,chennai,40.0,19 bhp,41600,220.0,Bajaj
1035,TVS Sport 100cc,2015,22000,first owner,gurgaon,95.0,7.40 bhp,24500,100.0,TVS
1036,Bajaj Discover 125ST,2012,15000,first owner,kalyan,65.0,12.5 ps,28000,125.0,Bajaj
1037,Bajaj Pulsar 180cc,2014,20000,first owner,chandigarh,45.0,17 bhp,35000,180.0,Bajaj
1038,Bajaj Avenger 220cc,2013,24000,first owner,mumbai,40.0,19 bhp,33200,220.0,Bajaj
1039,Bajaj Pulsar 135LS,2015,30000,first owner,delhi,64.0,13 bhp,30000,135.0,Bajaj
1040,Bajaj Pulsar 220cc,2015,32057,first owner,mumbai,38.0,21 bhp,40000,220.0,Bajaj
1041,Mahindra Centuro 110cc,2014,70000,second owner,pune,60.0,8.5 Bhp,23000,110.0,Mahindra
1042,Hero CBZ Xtreme 150cc,2010,56712,first owner,bangalore,65.0,14.4PS,20000,150.0,Hero
1043,Bajaj Pulsar AS150,2015,28886,first owner,pune,53.0,16.80 bhp,40000,150.0,Bajaj
1044,Hero CBZ Xtreme 150cc,2011,13421,third owner,delhi,65.0,14.4PS,25000,150.0,Hero
1045,Bajaj XCD 125,2008,14321,first owner,delhi,60.0,9.4 Bhp,17000,125.0,Bajaj
1046,TVS Star City Plus 110cc,2016,16000,first owner,gurgaon,85.0,8.2 bhp,26000,110.0,TVS
1047,Hero HF Deluxe 100cc,2017,296,first owner,delhi,55.0,6.15kW (8.36 Ps),40000,100.0,Hero
1048,Hero Passion Pro 100cc,2010,17420,first owner,faridabad,5.0,8.2 Bhp,16500,100.0,Hero
1049,Bajaj Discover 125ST,2012,17010,first owner,kanpur nagar,65.0,12.5 ps,25000,125.0,Bajaj
1050,TVS Sport 100cc,2014,75000,first owner,muzaffarpur,95.0,7.40 bhp,20000,100.0,TVS
1051,Yamaha FZs 150cc,2011,33000,second owner,delhi,45.0,13 bhp,22000,150.0,Yamaha
1052,Hero Karizma ZMR 223cc,2012,1922,first owner,mumbai,48.0,20 bhp,30000,223.0,Hero
1053,Hero Splendor Plus 100cc,2010,35778,first owner,faridabad,81.0,8.20 bhp,18000,100.0,Hero
1054,Bajaj Pulsar 220cc,2016,15000,second owner,delhi,38.0,21 bhp,49500,220.0,Bajaj
1055,Bajaj Avenger Street 150,2016,33500,first owner,mumbai,50.0,14.30 bhp,48000,150.0,Bajaj
1056,TVS Sport 100cc,2015,10649,first owner,faridabad,95.0,7.40 bhp,20000,100.0,TVS
1057,Bajaj Avenger Street 220,2016,40000,first owner,noida,53.0,19 bhp,47100,220.0,Bajaj
1058,Hero CD Deluxe 100cc,2017,25000,first owner,gurgaon,65.0,7.70 bhp,18000,100.0,Hero
1059,Hero Karizma R 223cc,2008,43509,first owner,delhi,40.0,17 bhp,20000,223.0,Hero
1060,Hero Karizma R 223cc,2010,60000,third owner,ahmedabad,40.0,17 bhp,30000,223.0,Hero
1061,Hero Karizma R 223cc,2007,50000,first owner,delhi,40.0,17 bhp,16400,223.0,Hero
1062,Bajaj Avenger 220cc,2012,27000,first owner,bangalore,40.0,19 bhp,45000,220.0,Bajaj
1063,Bajaj Pulsar 220cc,2010,34304,first owner,faridabad,38.0,21 bhp,20000,220.0,Bajaj
1064,Bajaj V15 150cc,2018,15047,first owner,gurgaon,57.0,11.80 bhp,35500,150.0,Bajaj
1065,Bajaj V15 150cc,2016,12315,first owner,faridabad,57.0,11.80 bhp,31000,150.0,Bajaj
1066,TVS Star City Plus 110cc,2017,46823,first owner,bangalore,85.0,8.2 bhp,37000,110.0,TVS
1067,Yamaha FZs 150cc,2014,38554,first owner,gurgaon,45.0,13 bhp,25000,150.0,Yamaha
1068,Bajaj Pulsar 180cc,2015,48000,first owner,bangalore,45.0,17 bhp,36000,180.0,Bajaj
1069,Bajaj Avenger 220cc,2014,32000,first owner,ahmedabad,40.0,19 bhp,26333,220.0,Bajaj
1070,Bajaj Avenger 220cc,2015,37500,first owner,pune,40.0,19 bhp,45000,220.0,Bajaj
1071,Yamaha YZF-R15 2.0 150cc,2013,63371,first owner,bangalore,42.0,16.70 bhp,48000,150.0,Yamaha
1072,Yamaha FZs 150cc,2012,61200,second owner,zirakpur,45.0,13 bhp,31400,150.0,Yamaha
1073,Yamaha FZs 150cc,2012,37000,first owner,24 pargana,45.0,13 bhp,37000,150.0,Yamaha
1074,Yamaha FZs 150cc,2012,58000,third owner,bangalore,45.0,13 bhp,30000,150.0,Yamaha
1075,Bajaj Pulsar 180cc,2016,31000,first owner,gurgaon,65.0,17 bhp,39000,180.0,Bajaj
1076,Bajaj V15 150cc,2018,15510,first owner,faridabad,57.0,11.80 bhp,33000,150.0,Bajaj
1077,Hero Karizma R 223cc,2012,25000,first owner,visakhapatnam,40.0,17 bhp,40000,223.0,Hero
1078,Hero Passion Pro 100cc,2013,21000,first owner,bangalore,5.0,8.2 Bhp,42000,100.0,Hero
1079,Hero Splendor Plus 100cc,2017,55000,first owner,mysore,81.0,8.20 bhp,45000,100.0,Hero
1080,Bajaj Discover 125cc,2012,26356,second owner,bangalore,65.0,12.5 ps,28000,125.0,Bajaj
1081,Hero Splendor 100cc,2008,31000,first owner,chennai,52.5,6.15kW (8.36 Ps),17000,100.0,Hero
1082,Hero Splendor Plus 100cc,2014,12500,first owner,sonepat,81.0,8.20 bhp,25800,100.0,Hero
1083,Bajaj Pulsar 180cc,2018,65000,fourth owner or more,bangalore,65.0,17 bhp,26800,180.0,Bajaj
1084,Hero Splendor Pro 100cc,2015,11000,first owner,ludhiana,81.0,8.20 bhp,40000,100.0,Hero
1085,Bajaj Pulsar 180cc,2012,20000,first owner,delhi,45.0,17 bhp,26900,180.0,Bajaj
1086,Bajaj Pulsar AS150,2015,31000,second owner,bangalore,53.0,16.80 bhp,42000,150.0,Bajaj
1087,Hero Splendor 100cc,2007,70000,first owner,hosur,52.5,6.15kW (8.36 Ps),17000,100.0,Hero
1088,Bajaj XCD 125,2009,25000,first owner,delhi,60.0,9.4 Bhp,16000,125.0,Bajaj
1089,Hero Passion Pro 100cc,2015,16754,first owner,faridabad,84.0,8.2 Bhp,24700,100.0,Hero
1090,Hero Hunk 150cc,2013,12500,first owner,bangalore,53.0,14 bhp,30000,150.0,Hero
1091,TVS Sport 100cc,2013,14736,first owner,faridabad,95.0,7.40 bhp,17500,100.0,TVS
1092,Bajaj Pulsar 200 NS 200cc,2014,57000,first owner,ahmedabad,40.0,24.2 BHP,42200,200.0,Bajaj
1093,Bajaj Pulsar 135LS,2010,20000,first owner,jamshedpur,64.0,13 bhp,20000,135.0,Bajaj
1094,Bajaj Pulsar 220cc,2016,31651,first owner,faridabad,38.0,21 bhp,41000,220.0,Bajaj
1095,Hero Passion Pro 100cc,2009,34000,second owner,kolkata,5.0,8.2 Bhp,20000,100.0,Hero
1096,Hero Ignitor 125cc,2012,32000,first owner,delhi,55.0,11 bhp,25000,125.0,Hero
1097,Bajaj Pulsar 220cc,2013,24500,second owner,delhi,38.0,21 bhp,45000,220.0,Bajaj
1098,Hero Hunk 150cc,2009,16000,first owner,delhi,53.0,14 bhp,22000,150.0,Hero
1099,Bajaj  Pulsar 180cc,2011,55000,first owner,gurgaon,45.0,17 bhp,26000,180.0,Bajaj
1100,Bajaj V15 150cc,2016,17800,first owner,bangalore,57.0,11.80 bhp,47500,150.0,Bajaj
1101,Bajaj V15 150cc,2016,23000,first owner,muvattupuzha,57.0,11.80 bhp,46000,150.0,Bajaj
1102,Bajaj Pulsar 135LS,2014,10000,first owner,gurgaon,64.0,13 bhp,40000,135.0,Bajaj
1103,Hero Ignitor 125cc,2014,36000,first owner,ghaziabad,55.0,11 bhp,26900,125.0,Hero
1104,Honda Dream Yuga 110cc,2015,18988,first owner,kolhapur,84.0,8 bhp,44000,110.0,Honda
1105,Yamaha FZs 150cc,2015,25000,first owner,mumbai,45.0,13 bhp,49940,150.0,Yamaha
1106,Bajaj Pulsar 180cc,2013,31500,first owner,pune,65.0,15 bhp,42000,180.0,Bajaj
1107,Bajaj Discover 125cc,2016,15000,first owner,pratapgarh,65.0,12.5 ps,37800,125.0,Bajaj
1108,Bajaj Avenger 220cc,2014,22000,third owner,bareilly,40.0,19 bhp,34500,220.0,Bajaj
1109,Hero Passion PRO  100 cc,2013,6000,first owner,ludhiana,50.0,6.15 kW (8.36 Ps),30000,100.0,Hero
1110,Bajaj Discover 125ST,2012,40200,first owner,varanasi,65.0,12.5 ps,20000,125.0,Bajaj
1111,Bajaj Discover 125ST,2013,17000,second owner,faridabad,65.0,12.5 ps,24000,125.0,Bajaj
1112,Hero Splendor 100cc,2004,55000,first owner,muzaffarpur,52.5,6.15kW (8.36 Ps),19000,100.0,Hero
1113,Hero Passion Plus 100cc,2008,42662,first owner,jaipur,55.0,7.5 Bhp,16000,100.0,Hero
1114,Bajaj V15 150cc,2016,22139,first owner,delhi,57.0,11.80 bhp,48000,150.0,Bajaj
1115,Bajaj Pulsar 180cc,2009,77000,first owner,delhi,65.0,15 bhp,18000,180.0,Bajaj
1116,Hero Karizma R 223cc,2015,12000,first owner,gaya,40.0,17 bhp,44100,223.0,Hero
1117,Bajaj Discover 125ST,2013,31000,first owner,faridabad,65.0,12.5 ps,26900,125.0,Bajaj
1118,Bajaj Discover 125M,2015,16000,first owner,delhi,65.0,12.5 ps,32500,125.0,Bajaj
1119,Honda CB Trigger 150cc,2014,33000,first owner,ahmedabad,60.0,14 bhp,35000,150.0,Honda
1120,Bajaj Pulsar 180cc,2014,65000,first owner,hisar,45.0,17 bhp,25000,180.0,Bajaj
1121,Bajaj Discover 125ST,2012,55000,first owner,faridabad,65.0,12.5 ps,20000,125.0,Bajaj
1122,Hero CD Deluxe 100cc,2012,50000,first owner,delhi,65.0,7.70 bhp,20000,100.0,Hero
1123,Honda CBR 250R,2011,29000,first owner,gurgaon,29.0,26.15 bhp,45000,250.0,Honda
1124,Hero Passion Pro i3S Disc 100cc,2017,22600,second owner,bhatkal,84.0,8.20 bhp,38000,100.0,Hero
1125,Bajaj Avenger 220cc,2013,40000,first owner,delhi,40.0,19 bhp,27000,220.0,Bajaj
1126,Bajaj V15 150cc,2016,3325,second owner,ghaziabad,57.0,11.80 bhp,42200,150.0,Bajaj
1127,Bajaj Pulsar 180cc,2009,32000,first owner,delhi,65.0,15 bhp,18900,180.0,Bajaj
1128,Bajaj Pulsar 220F,2012,35000,first owner,sonipat,38.0,21 bhp,22000,220.0,Bajaj
1129,Hero Hunk Rear Disc 150cc,2013,45000,first owner,mumbai,55.0,14 bhp,30000,150.0,Hero
1130,Bajaj CT 100 100cc,2001,60000,second owner,manpur,89.0,8.10 bhp,16000,100.0,Bajaj
1131,TVS Star City 110cc,2012,47453,first owner,ganganagar,85.0,8.2 bhp,18000,110.0,TVS
1132,Hero Splendor Pro 100cc,2014,23000,first owner,asansol,81.0,8.20 bhp,35000,100.0,Hero
1133,Hero Splendor 100cc,2015,15500,first owner,hyderabad,52.5,6.15kW (8.36 Ps),44000,100.0,Hero
1134,TVS Sport 100cc,2017,35535,first owner,kurukshetra,95.0,7.40 bhp,36000,100.0,TVS
1135,Suzuki Slingshot Plus 125cc,2015,15000,second owner,ajmer,59.0,8.50 bhp,28000,125.0,Suzuki
1136,TVS Star City Plus 110cc,2015,35300,first owner,delhi,85.0,8.2 bhp,27606,110.0,TVS
1137,Bajaj Discover 125cc Disc,2018,10000,first owner,delhi,65.0,10.90 bhp,45000,125.0,Bajaj
1138,Bajaj V15 150cc,2018,11000,first owner,delhi,57.0,11.80 bhp,45000,150.0,Bajaj
1139,Hero Passion Pro 100cc,2010,77000,second owner,jind,5.0,8.2 Bhp,16666,100.0,Hero
1140,Hero Splendor iSmart 110cc,2017,12000,first owner,faridabad,55.0,9.30 bhp,39200,110.0,Hero
1141,Yamaha SZ-RR 150cc,2015,25909,first owner,faridabad,55.0,12 Bhp,25000,150.0,Yamaha
1142,Bajaj Pulsar AS150,2016,35000,second owner,patna,53.0,16.80 bhp,35000,150.0,Bajaj
1143,Bajaj V15 150cc,2016,24925,first owner,bangalore,57.0,11.80 bhp,43400,150.0,Bajaj
1144,Hero Splendor 100cc,2016,32000,first owner,raebareli,52.5,6.15kW (8.36 Ps),27500,100.0,Hero
1145,Bajaj Discover 125ST,2013,30000,first owner,swaimadhopur,65.0,12.5 ps,23000,125.0,Bajaj
1146,Mahindra Centuro 110cc,2014,42936,first owner,bangalore,60.0,8.5 Bhp,22000,110.0,Mahindra
1147,Hero Super Splendor 125cc,2008,74184,second owner,chandigarh,75.0,9 bhp,17000,125.0,Hero
1148,Honda CB Trigger 150cc,2014,34407,first owner,mumbai,60.0,14 bhp,42000,150.0,Honda
1149,Hero Passion Xpro 110cc,2015,40000,first owner,ambala,55.0,6.72 KW (9.1 Ps),26000,110.0,Hero
